Depth_meter,Area_meterSquared
0,449479.2574
1,413656.8771
2,380796.81
3,350709.9723
4,323207.2801
5,298099.6498
6,275197.9973
7,254313.2389
8,235256.2908
9,217838.0692
10,201869.4902
11,187161.47
12,173524.9249
13,160770.7709
14,148709.9242
15,137153.3011
16,125911.8176
17,114796.3901
18,103617.9346
19,92187.36733
20,80315.60449
21,67813.56225
22,54492.15677
23,40162.30424
24,24634.92084
25,0
