datetime,Ten_Meter_Elevation_Wind_Speed_meterPerSecond,Air_Temperature_celsius,Relative_Humidity_percent,Shortwave_Radiation_Downwelling_wattPerMeterSquared,Surface_Level_Barometric_Pressure_pascal,Precipitation_meterPerSecond
2017-02-26 0:00,3.511643415,-1.663260417,58.453125,118.7634792,96095.03073,1.16E-09
2017-02-27 0:00,1.009424107,2.2561875,51.63229167,117.5171354,97228.81625,0.00E+00
2017-02-28 0:00,0.810994048,8.181104167,61.63333333,157.4045729,96981.37146,0.00E+00
2017-03-01 0:00,1.570986359,12.969375,81.509375,47.98448958,95124.23125,3.47E-08
2017-03-02 0:00,4.826387835,1.958614583,49.940625,115.939,95427.15813,3.47E-09
2017-03-03 0:00,3.42269215,-5.704083333,60.67916667,157.976125,96820.55417,0.00E+00
2017-03-04 0:00,4.084447545,-9.885927083,60.75416667,139.7153229,97631.09656,0.00E+00
2017-03-05 0:00,2.335468006,-8.999177083,47.27708333,223.3969167,97872.53688,0.00E+00
2017-03-06 0:00,0.595424293,-0.932427083,44.678125,159.7286042,97377.96188,0.00E+00
2017-03-07 0:00,0.78687128,4.83896875,93.77291667,42.87160417,96683.69375,1.17E-07
2017-03-08 0:00,2.725028274,8.304916667,60.2625,200.7760208,95910.67198,3.47E-08
2017-03-09 0:00,3.760905692,6.135229167,37.41145833,205.9472188,96062.31104,0
2017-03-10 0:00,3.146281064,-3.611489583,81.63958333,44.03620833,95771.55563,2.89E-08
2017-03-11 0:00,4.351925037,-10.16802083,64.14791667,140.5867083,96362.01938,0.00E+00
2017-03-12 0:00,3.208009859,-9.403947917,60.01354167,187.7815313,96923.18458,0.00E+00
2017-03-13 0:00,1.082989397,-6.933125,53.696875,207.7933229,97202.23188,4.63E-09
2017-03-14 0:00,3.651002418,-6.831239583,94.303125,29.32303125,95098.42313,0.00E+00
2017-03-15 0:00,4.2642141,-9.4539375,76.58333333,120.5320104,94779.00677,0.00E+00
2017-03-16 0:00,4.44271131,-4.79896875,53.5125,207.1197396,95855.16188,6.13E-08
2017-03-17 0:00,2.19769308,-2.20609375,54.06666667,254.1248125,96695.8674,3.47E-09
2017-03-18 0:00,1.540647879,-3.245135417,78.63645833,38.67467708,96579.28948,0.00E+00
