deps, temp
0,0.2
1,0.4
2,0.5
3,0.5
4,0.6
5,0.6
6,0.6
7,0.6
8,0.6
9,0.6
10,0.7
11,0.7
12,0.7
13,0.7
14,0.8
15,0.9
16,1
17,1.1
18,1.3
19,1.4
20,1.5
21,1.5
22,1.5
23,1.8
24,2.2
